Date,Temp,Cond,pH
2020-Jun-03 18:44,18.04,136.20,7.00
2020-Jun-03 18:45,18.06,136.30,7.00
2020-Jun-03 18:52,17.79,136.90,7.00
2020-Jun-03 18:59,17.67,136.50,7.00
2020-Jun-03 19:59,16.83,135.50,7.00
2020-Jun-03 20:59,17.38,135.50,7.00
2020-Jun-03 21:59,16.86,135.40,7.00
2020-Jun-03 22:59,17.10,135.80,7.00
2020-Jun-03 23:59,16.95,134.90,7.00
2020-Jun-04 00:59,17.08,134.30,7.00
2020-Jun-04 01:59,16.81,134.50,7.00
2020-Jun-04 02:59,16.67,133.70,7.00
2020-Jun-04 03:59,17.47,133.40,7.01
2020-Jun-04 04:59,17.45,133.80,7.00
2020-Jun-10 17:46,19.65,105.70,7.00
2020-Jun-10 17:59,19.66,106.10,7.00
2020-Jun-10 18:32,19.67,106.00,7.00
2020-Jun-10 18:37,19.67,106.50,7.00
2020-Jun-10 19:05,19.66,106.60,7.00
2020-Jun-10 20:05,19.60,106.70,7.00
2020-Jun-10 21:05,19.48,106.80,7.00
2020-Jun-10 22:05,19.32,107.00,7.00
2020-Jun-10 23:05,19.13,106.90,7.00
2020-Jun-11 00:05,18.92,106.70,7.00
2020-Jun-11 01:05,18.71,106.60,7.00
2020-Jun-11 02:05,18.50,106.30,7.00
2020-Jun-11 03:05,18.26,106.10,7.00
2020-Jun-11 04:05,18.36,105.40,7.00
2020-Jun-11 05:05,18.47,106.70,7.00
2020-Jun-11 06:05,18.38,107.00,7.00
2020-Jun-11 07:05,18.27,107.30,7.00
2020-Jun-11 08:05,18.14,106.30,7.00
2020-Jun-11 09:05,18.08,106.50,7.00
2020-Jun-11 10:05,18.14,106.70,7.00
2020-Jun-11 11:05,18.34,107.20,7.00
2020-Jun-11 12:05,18.55,107.70,7.00
2020-Jun-11 13:05,18.75,103.00,7.00
2020-Jun-11 14:05,18.91,105.90,7.00
2020-Jun-11 15:05,19.07,110.50,7.00
2020-Jun-11 16:05,19.23,106.70,7.01
2020-Jun-11 17:05,19.36,108.10,7.00
2020-Jun-11 18:05,19.45,113.70,7.00
2020-Jun-11 19:05,19.42,110.30,7.00
2020-Jun-11 20:05,19.33,113.50,7.00
2020-Jun-11 21:05,19.20,114.30,7.00
2020-Jun-11 22:05,19.05,114.70,7.00
2020-Jun-11 23:05,18.88,113.40,7.00
2020-Jun-12 00:05,18.68,114.10,7.00
2020-Jun-12 01:05,18.48,113.50,7.00
2020-Jun-12 02:05,18.27,112.90,7.00
2020-Jun-12 03:05,18.05,112.80,7.00
2020-Jun-12 04:05,18.14,111.20,7.00
2020-Jun-12 05:05,18.22,110.50,7.00
2020-Jun-12 06:05,18.09,113.00,7.00
2020-Jun-17 15:05,19.42,128.40,7.00
2020-Jun-17 16:05,19.35,128.30,7.00
2020-Jun-17 17:05,19.32,127.70,7.01
2020-Jun-17 18:05,19.32,128.70,7.01
